id,trial,label,FC,TC,response,RT
143,0,target,0,0.015,0,0.2972620833606925
143,1,target,0,0.15,1,0.222754458343843
143,2,target,0,0.0015,0,0.3105820833297912
143,3,target,0,0.015,0,0.3285288749902975
143,4,target,0,0.15,1,0.1930688749998808
143,5,target,0,0.04743416490252569,0,0.2416921666590497
143,6,target,0,0.07517808504409085,1,0.19828154167043976
143,7,target,0,0.05971607558302459,1,0.17108995831222273
143,8,target,0,0.04743416490252569,1,0.15953379165148363
143,9,target,0,0.037678296472643695,1,0.1924508333322592
143,10,target,0,0.029928934724533188,1,0.2400994583440479
143,11,target,0,0.023773397886916695,1,0.25742583331884816
143,12,target,0,0.0188838811769125,0,0.3208756666572299
143,13,target,0,0.023773397886916695,1,0.39931037501082756
143,14,target,0,0.0188838811769125,0,0.5215151666780002
143,15,target,0,0.023773397886916695,1,0.8379241666698363
143,16,target,0,0.0188838811769125,0,0.6474892917030957
143,17,target,0,0.023773397886916695,1,0.4082609166507609
143,18,target,0,0.0188838811769125,1,0.38261070832959376
143,19,target,0,0.014999999999999993,1,0.35403149999910966
143,20,target,0,0.011914923520864215,0,0.34353162499610335
143,21,target,0,0.014999999999999993,1,0.376335166656645
143,22,target,0,0.011914923520864215,0,0.30288279164233245
143,23,target,0,0.014999999999999993,1,0.38128741667605937
143,24,target,0,0.011914923520864215,1,0.2935473333345726
143,25,target,0,0.009464360167202892,0,0.2661082916893065
143,26,target,0,0.011914923520864215,0,0.2982839166652411
143,27,target,0,0.014999999999999993,0,0.3752642916806508
143,28,target,0,0.0188838811769125,1,0.3791569999884814
143,29,target,0,0.014999999999999993,0,0.3367879999859724
