id,trial,label,FC,TC,response,RT
144,0,target,0,0.015,0,0.3530519166670274
144,1,target,0,0.05,1,0.20693120834766887
144,2,target,0,0.0015,0,0.2840271666646004
144,3,target,0,0.015,0,0.3190820000017993
144,4,target,0,0.05,1,0.2905390416854061
144,5,target,0,0.015811388300841896,0,0.3359657083055936
144,6,target,0,0.025059361681363614,0,0.3390932916663587
144,7,target,0,0.039716411736214076,1,0.2534399166761432
144,8,target,0,0.03154786722400966,0,0.2552957083680667
144,9,target,0,0.03971641173621407,1,0.25941970833810046
144,10,target,0,0.03154786722400966,1,0.18441637497744523
144,11,target,0,0.02505936168136361,1,0.1591621666739229
144,12,target,0,0.019905358527674857,0,0.2945013749995269
144,13,target,0,0.025059361681363607,1,0.297277583333198
144,14,target,0,0.019905358527674857,0,0.27057620833511464
144,15,target,0,0.025059361681363607,1,0.3461410000163596
144,16,target,0,0.019905358527674857,0,0.3053452083549928
144,17,target,0,0.025059361681363607,0,0.29101766666281037
144,18,target,0,0.03154786722400965,0,0.2726495416427497
144,19,target,0,0.03971641173621406,1,0.36638500000117347
144,20,target,0,0.03154786722400965,1,0.3531455416814424
144,21,target,0,0.025059361681363603,0,0.19058270831010304
144,22,target,0,0.03154786722400965,1,0.34131445834646
144,23,target,0,0.025059361681363603,1,0.37533329165307805
144,24,target,0,0.019905358527674853,1,0.27304262499092147
144,25,target,0,0.01581138830084189,0,0.24600420834030956
144,26,target,0,0.019905358527674853,0,0.3511300417012535
144,27,target,0,0.025059361681363603,1,0.24909558333456516
144,28,target,0,0.019905358527674853,0,0.3879041249747388
144,29,target,0,0.025059361681363603,1,0.22516866665682755
