id,trial,label,FC,TC,response,RT
145,0,target,0,0.015,0,0.3515728749916889
145,1,target,0,0.05,1,0.32393937499728054
145,2,target,0,0.0015,1,0.2648030416457914
145,3,target,0,0.0015,0,0.2652127916517202
145,4,target,0,0.05,1,0.3442395000020042
145,5,target,0,0.0015,0,0.2524919583229348
145,6,target,0,0.05,1,0.41094500001054257
145,7,target,0,0.005,0,0.30737554165534675
145,8,target,0,0.0158113883008419,0,0.377119541662978
145,9,target,0,0.05,1,0.22342420829227194
145,10,target,0,0.031547867224009665,1,0.2585746250115335
145,11,target,0,0.019905358527674864,0,0.28314845834393054
145,12,target,0,0.025059361681363617,0,0.8492405833385419
145,13,target,0,0.031547867224009665,1,0.3466746250051074
145,14,target,0,0.025059361681363614,0,0.29999916668748483
145,15,target,0,0.031547867224009665,1,0.2515822083223611
145,16,target,0,0.025059361681363614,1,0.2560829583380837
145,17,target,0,0.01990535852767486,0,0.33635749999666587
145,18,target,0,0.025059361681363614,0,0.27569683332694694
145,19,target,0,0.031547867224009665,1,0.2027772500005085
145,20,target,0,0.025059361681363614,1,0.30264733333024196
145,21,target,0,0.01990535852767486,0,0.31859750000876375
145,22,target,0,0.025059361681363614,1,0.24371720830095
145,23,target,0,0.01990535852767486,0,0.41934774999390356
145,24,target,0,0.025059361681363614,1,0.2502762916847132
145,25,target,0,0.01990535852767486,0,0.28119075001450256
145,26,target,0,0.025059361681363614,1,0.27848087501479313
145,27,target,0,0.01990535852767486,0,0.35229483334114775
145,28,target,0,0.025059361681363614,1,0.2632103333598934
145,29,target,0,0.01990535852767486,0,0.3685672083229292
